"atom_id` bigint NOT NULL","atom_name` varchar(255) NOT NULL","context_id` bigint NOT NULL","is_authoritative` tinyint NOT NULL DEFAULT 0","value_json` json","summary` text","tags` varchar(255)","created_ymd` bigint NOT NULL DEFAULT 0","updated_ymd` bigint NOT NULL DEFAULT 0"
"atom_id` bigint NOT NULL:BIGINT|NOT_NULL","atom_name` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","context_id` bigint NOT NULL:BIGINT|NOT_NULL","is_authoritative` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","value_json` json:JSON|NULL","summary` text:TEXT|NULL","tags` varchar(255):VARCHAR(255)|NULL","created_ymd` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymd` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0"
1,lupopedia_os,1,1,"{""type"": ""semantic_os"", ""version"": ""4.0.22"", ""description"": ""Lupopedia Semantic Operating System""}","Lupopedia Semantic Operating System - Core semantic framework for knowledge organization and processing","semantic_os,core,framework",20260220000000,20260220000000
2,flip_doctrine,1,1,"{""type"": ""governance"", ""description"": ""Feature Level Implementation Protocol doctrine""}","FLIP Doctrine - Feature Level Implementation Protocol for systematic development","governance,protocol,development",20260220000000,20260220000000
3,emotional_geometry,1,1,"{""type"": ""framework"", ""description"": ""Emotional Geometry framework for affective computing""}","Emotional Geometry - Framework for modeling and processing emotional states and relationships","emotional,affective,geometry",20260220000000,20260220000000
4,truth_system,1,1,"{""type"": ""epistemology"", ""description"": ""Truth system for knowledge validation""}","Truth System - Epistemological framework for validating and organizing knowledge claims","truth,knowledge,epistemology,validation",20260220000000,20260220000000
5,multi_agent_system,1,1,"{""type"": ""agent_framework"", ""description"": ""Multi-agent coordination and interaction system""}","Multi-Agent System - Framework for coordinating multiple AI agents with distinct capabilities","agents,ai,coordination,multi_agent",20260220000000,20260220000000
6,semantic_paths,1,1,"{""type"": ""navigation"", ""description"": ""Semantic path system for knowledge traversal""}","Semantic Paths - Navigation system for traversing and organizing semantic relationships","semantic,navigation,paths,knowledge_graph",20260220000000,20260220000000
7,governance_system,1,1,"{""type"": ""governance"", ""description"": ""Governance framework for decision making""}","Governance System - Framework for structured decision making and policy enforcement","governance,decision_making,policy",20260220000000,20260220000000
8,federation_protocol,1,1,"{""type"": ""network"", ""description"": ""Federation protocol for distributed systems""}","Federation Protocol - Protocol for connecting and coordinating distributed Lupopedia instances","federation,distributed,network,protocol",20260220000000,20260220000000
9,channel_system,1,1,"{""type"": ""communication"", ""description"": ""Channel-based communication system""}","Channel System - Communication framework using channels for organized interaction","channels,communication,organization",20260220000000,20260220000000
10,actor_registry,1,1,"{""type"": ""identity"", ""description"": ""Universal actor identity and registry system""}","Actor Registry - Universal identity system for all actors (human, AI, system)","actors,identity,registry,authentication",20260220000000,20260220000000
