"module_id` bigint NOT NULL","module_key` varchar(100) NOT NULL","module_name` varchar(150) NOT NULL","namespace` varchar(100) NOT NULL","version` varchar(50) NOT NULL","version_code` int NOT NULL","minimum_core_version` varchar(50) NOT NULL","user_path` varchar(255)","admin_path` varchar(255)","api_path` varchar(255)","route_params` text","description` text","author` varchar(100)","website` varchar(255)","icon` varchar(100) DEFAULT 'puzzle-piece'","dependencies` text","conflicts` text","config_json` text NOT NULL","is_system` tinyint NOT NULL DEFAULT 0","is_active` tinyint NOT NULL DEFAULT 0","federation_node_id` bigint NOT NULL DEFAULT 1","settings` text","installed_ymdhis` bigint","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"module_id` bigint NOT NULL:BIGINT|NOT_NULL","module_key` varchar(100) NOT NULL:VARCHAR(100)|NOT_NULL","module_name` varchar(150) NOT NULL:VARCHAR(150)|NOT_NULL","namespace` varchar(100) NOT NULL:VARCHAR(100)|NOT_NULL","version` varchar(50) NOT NULL:VARCHAR(50)|NOT_NULL","version_code` int NOT NULL:INT|NOT_NULL","minimum_core_version` varchar(50) NOT NULL:VARCHAR(50)|NOT_NULL","user_path` varchar(255):VARCHAR(255)|NULL","admin_path` varchar(255):VARCHAR(255)|NULL","api_path` varchar(255):VARCHAR(255)|NULL","route_params` text:TEXT|NULL","description` text:TEXT|NULL","author` varchar(100):VARCHAR(100)|NULL","website` varchar(255):VARCHAR(255)|NULL","icon` varchar(100) DEFAULT 'puzzle-piece':VARCHAR(100)|NULL|DEFAULT:'puzzle-piece'","dependencies` text:TEXT|NULL","conflicts` text:TEXT|NULL","config_json` text NOT NULL:TEXT|NOT_NULL","is_system` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","is_active` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","federation_node_id` bigint NOT NULL DEFAULT 1:BIGINT|NOT_NULL|DEFAULT:1","settings` text:TEXT|NULL","installed_ymdhis` bigint:BIGINT|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint:BIGINT|NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
1,crafty_syntax,"Crafty Syntax Live Chat",CraftySyntax,4.0.22,40022,4.0.22,/crafty/,/admin/crafty/,/api/crafty/,,"Legacy live chat system with operator/visitor model, transcripts, departments, and offline messages.","Eric Gerdes",https://lupopedia.com,comments,,,"{""theme"": ""vanilla"", ""maxexe"": 180, ""floatxy"": ""200|160"", ""matchip"": ""N"", ""version"": ""3.7.5"", ""webpath"": ""http://localhost/lupopedia/"", ""chatmode"": ""xmlhttp-flush-refresh"", ""tracking"": ""Y"", ""ignoreips"": """", ""maxmonths"": 12, ""maxvisits"": 75, ""membernum"": 0, ""s_webpath"": ""https://localhost/lupopedia/"", ""showgames"": ""Y"", ""smtp_host"": """", ""use_flush"": ""YES"", ""chatcolors"": ""fefdcd,cbcefe,caedbe,cccbba,aecddc,EBBEAA,faacaa,fbddef,cfaaef,aedcbd,bbffff,fedabf;040662,240462,520500,404062,100321,662640,242642,151035,051411,442662,442022,200220;426446,224646,466286,828468,866482,484668,504342,224882,486882,824864,668266,444468"", ""maxoldhits"": 1, ""maxrecords"": 75000, ""showsearch"": ""Y"", ""site_title"": ""Live Help!"", ""usecookies"": ""Y"", ""colorscheme"": ""white"", ""directoryid"": """", ""ignoreagent"": """", ""maxreferers"": 50, ""maxrequests"": 99999, ""owner_email"": ""lupopedia@gmail.com"", ""refreshrate"": 1, ""reftracking"": ""Y"", ""resetbutton"": ""Y"", ""show_typing"": ""Y"", ""topkeywords"": 50, ""adminsession"": ""Y"", ""gethostnames"": ""N"", ""keywordtrack"": ""N"", ""showoperator"": ""Y"", ""smtp_portnum"": 25, ""usertracking"": ""Y"", ""admin_refresh"": ""auto"", ""rememberusers"": ""Y"", ""scratch_space"": "" Welcome to  Live Help \r\n\r\n\r\n        "", ""showdirectory"": ""Y"", ""smtp_password"": ""1q2w3e4r!"", ""smtp_username"": ""captain"", ""speaklanguage"": ""English"", ""topbackground"": ""header_images/customersupports.png"", ""everythingelse"": ""NYYY"", ""sessiontimeout"": 60, ""topframeheight"": 85, ""operatorstimeout"": 4, ""operatorssessionout"": 45}",1,1,1,{},20260217230000,20260217230000,,0,
2,crm,"CRM / Leads",CRM,4.0.22,40022,4.0.22,/crm/,/admin/crm/,/api/crm/,,"Contact management, leads, follow-ups, notes, and operator assignments.","Eric Gerdes",https://lupopedia.com,address-book,,,{},1,1,1,{},20260217230000,20260217230000,,0,
3,truth,"truth Q&A / Knowledge System",truth,4.0.22,40022,4.0.22,/truth/,/admin/truth/,/api/truth/,,"Knowledge system for atoms, questions, answers, revisions, and semantic content.","Eric Gerdes",https://lupopedia.com,book,,,{},1,1,1,{},20260217230000,20260217230000,,0,
4,routing,"Routing & Multi-Agent System",Routing,4.0.22,40022,4.0.22,/routing/,/admin/routing/,/api/routing/,,"HERMES, CADUCEUS, emotional routing, agent classification, channel intent, and routing modes.","Eric Gerdes",https://lupopedia.com,share-nodes,,,{},1,1,1,{},20260217230000,20260217230000,,0,
5,analytics,"Analytics & Reporting",Analytics,4.0.22,40022,4.0.22,/analytics/,/admin/analytics/,/api/analytics/,,"Dashboards, operator stats, visitor stats, channel metrics, mood analytics, and routing analytics.","Eric Gerdes",https://lupopedia.com,chart-line,,,{},1,1,1,{},20260217230000,20260217230000,,0,
6,settings,"System Settings & Configuration",Settings,4.0.22,40022,4.0.22,/settings/,/admin/settings/,/api/settings/,,"Admin panel for node configuration, module settings, agent settings, bans, UI, email, and federation.","Eric Gerdes",https://lupopedia.com,sliders,,,{},1,1,1,{},20260217230000,20260217230000,,0,
7,federation,"Federation / Node-to-Node Communication",Federation,4.0.22,40022,4.0.22,/federation/,/admin/federation/,/api/federation/,,"Federated communication between Lupopedia nodes: discovery, authentication, content sharing, and routing.","Eric Gerdes",https://lupopedia.com,network-wired,,,{},1,1,1,{},20260217230000,20260217230000,,0,
8,content,"Content Management System",Content,4.0.22,40022,4.0.22,/content/,/admin/content/,/api/content/,,"Core content management system for Lupopedia: content entries, media, categories, hashtags, engagement, revisions, and semantic linking.","Eric Gerdes",https://lupopedia.com,file-lines,,,{},1,1,1,{},20260217230000,20260217230000,,0,
9,admin,Admin,Admin,4.0.22,40022,4.0.22,/admin.php,/admin.php,,,"Global admin interface (admin.php). Owner on this module grants global admin access (used by AuthRoleResolver and wizard for Crafty isadmin migration).","Eric Gerdes",https://lupopedia.com,cog,,,{},1,1,1,{},20260217230000,20260217230000,,0,
