"unified_registry_id` bigint NOT NULL","entity_type` varchar(64) NOT NULL","entity_index` bigint NOT NULL","entity_key` varchar(255)","entity_name` varchar(255)","entity_table` varchar(128) NOT NULL","federation_node_id` bigint NOT NULL DEFAULT 1","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint","is_active` tinyint NOT NULL DEFAULT 1","is_kernel` tinyint NOT NULL DEFAULT 0","metadata_json` json"
"unified_registry_id` bigint NOT NULL:BIGINT|NOT_NULL","entity_type` varchar(64) NOT NULL:VARCHAR(64)|NOT_NULL","entity_index` bigint NOT NULL:BIGINT|NOT_NULL","entity_key` varchar(255):VARCHAR(255)|NULL","entity_name` varchar(255):VARCHAR(255)|NULL","entity_table` varchar(128) NOT NULL:VARCHAR(128)|NOT_NULL","federation_node_id` bigint NOT NULL DEFAULT 1:BIGINT|NOT_NULL|DEFAULT:1","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL","is_active` tinyint NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1","is_kernel` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","metadata_json` json:JSON|NULL"
1,channel,0,system/kernel,"System Kernel Channel",lupo_channels,1,20260106084500,20260122160000,0,,1,1,"{""language"": ""en"", ""description"": ""Reserved channel for bootstrapping, migrations, and OS-level events."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 0}"
2,channel,1,system/lobby,"Lobby Channel",lupo_channels,1,20260106082200,20260106082200,0,,1,0,"{""language"": ""en"", ""description"": ""Universal entry point for all new actors. Temporary holding area before routing."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
3,channel,1001,test_awareness_channel,"Agent Awareness Test Channel",lupo_channels,1,20260117000000,20260117000000,0,,1,0,"{""language"": ""en"", ""description"": ""Test channel for AAL validation"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
4,channel,1002,dev-main-thread,dev-main-thread,lupo_channels,1,20260106082200,20260106082200,0,,1,0,"{""language"": ""en"", ""description"": ""main channel for development in global sense  "", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
5,channel,1003,GOV‑PROGRAMMERS‑001,GOV‑PROGRAMMERS‑001,lupo_channels,1,20260106082200,20260106082200,0,,1,0,"{""language"": ""en"", ""description"": ""GOV‑PROGRAMMERS‑001"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
6,channel,1004,system-errors,"System Errors",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""Centralized error reporting and agent fault logs."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
7,channel,1005,programmers,"Programmers of Lupopedia",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""Engineering doctrine, certification, and architecture."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
8,channel,1006,doctrine,Doctrine,lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""System governance, rules, invariants, and prohibitions."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
9,channel,1007,schema,"Schema Oracle",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""TOON-based database structure and table definitions."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
